dataset,datamode,ad-method,emb-method,AUC,seed
cora,A ,IF ,Node2,0.670,52
cora,A ,OCS,Node2,0.617,52
cora,A ,PCA,Node2,"0.68,",52
cora,A ,AE ,Node2,0.678,52
cora,AX,IF ,Node2,0.541,52
cora,AX,OCS,Node2,0.615,52
cora,AX,PCA,Node2,0.638,52
cora,AX,AE ,Node2,0.639,52
cora,A ,IF ,"LINE
",0.579,52
cora,A ,OCS,"LINE
",0.575,52
cora,A ,PCA,"LINE
",0.578,52
cora,A ,AE ,"LINE
",0.576,52
cora,AX,IF ,"LINE
",0.584,52
cora,AX,OCS,"LINE
",0.574,52
cora,AX,PCA,"LINE
",0.637,52
cora,AX,AE ,"LINE
",0.637,52
cora,A ,IF ,"SDNE
",0.531,52
cora,A ,OCS,"SDNE
",0.515,52
cora,A ,PCA,"SDNE
",0.515,52
cora,A ,AE ,"SDNE
",0.515,52
cora,AX,IF ,"SDNE
",0.550,52
cora,AX,OCS,"SDNE
",0.516,52
cora,AX,PCA,"SDNE
",0.634,52
cora,AX,AE ,"SDNE
",0.633,52
cora,A ,IF ,Struc,0.535,52
cora,A ,OCS,Struc,0.540,52
cora,A ,PCA,Struc,0.538,52
cora,A ,AE ,Struc,0.538,52
cora,AX,IF ,Struc,0.568,52
cora,AX,OCS,Struc,0.541,52
cora,AX,PCA,Struc,0.637,52
cora,AX,AE ,Struc,0.637,52
cora,A ,IF ,Node2,0.656,58
cora,A ,OCS,Node2,0.615,58
cora,A ,PCA,Node2,0.676,58
cora,A ,AE ,Node2,0.677,58
cora,AX,IF ,Node2,0.536,58
cora,AX,OCS,Node2,0.610,58
cora,AX,PCA,Node2,0.627,58
cora,AX,AE ,Node2,0.627,58
cora,A ,IF ,"LINE
",0.615,58
cora,A ,OCS,"LINE
",0.606,58
cora,A ,PCA,"LINE
",0.608,58
cora,A ,AE ,"LINE
",0.608,58
cora,AX,IF ,"LINE
",0.548,58
cora,AX,OCS,"LINE
",0.604,58
cora,AX,PCA,"LINE
",0.625,58
cora,AX,AE ,"LINE
",0.625,58
cora,A ,IF ,"SDNE
",0.583,58
cora,A ,OCS,"SDNE
",0.545,58
cora,A ,PCA,"SDNE
",0.565,58
cora,A ,AE ,"SDNE
",0.564,58
cora,AX,IF ,"SDNE
",0.519,58
cora,AX,OCS,"SDNE
",0.536,58
cora,AX,PCA,"SDNE
",0.615,58
cora,AX,AE ,"SDNE
",0.615,58
cora,A ,IF ,Struc,0.551,58
cora,A ,OCS,Struc,0.528,58
cora,A ,PCA,Struc,0.533,58
cora,A ,AE ,Struc,0.533,58
cora,AX,IF ,Struc,0.533,58
cora,AX,OCS,Struc,0.527,58
cora,AX,PCA,Struc,0.627,58
cora,AX,AE ,Struc,0.627,58
cora,A ,IF ,Node2,0.694,666
cora,A ,OCS,Node2,0.686,666
cora,A ,PCA,Node2,0.720,666
cora,A ,AE ,Node2,0.718,666
cora,AX,IF ,Node2,0.547,666
cora,AX,OCS,Node2,0.684,666
cora,AX,PCA,Node2,0.641,666
cora,AX,AE ,Node2,0.641,666
cora,A ,IF ,"LINE
",0.646,666
cora,A ,OCS,"LINE
",0.638,666
cora,A ,PCA,"LINE
",0.636,666
cora,A ,AE ,"LINE
",0.635,666
cora,AX,IF ,"LINE
",0.576,666
cora,AX,OCS,"LINE
",0.637,666
cora,AX,PCA,"LINE
",0.641,666
cora,AX,AE ,"LINE
",0.640,666
cora,A ,IF ,"SDNE
",0.575,666
cora,A ,OCS,"SDNE
",0.578,666
cora,A ,PCA,"SDNE
",0.565,666
cora,A ,AE ,"SDNE
",0.568,666
cora,AX,IF ,"SDNE
",0.533,666
cora,AX,OCS,"SDNE
",0.580,666
cora,AX,PCA,"SDNE
",0.637,666
cora,AX,AE ,"SDNE
",0.637,666
cora,A ,IF ,Struc,0.566,666
cora,A ,OCS,Struc,0.565,666
cora,A ,PCA,Struc,0.567,666
cora,A ,AE ,Struc,0.568,666
cora,AX,IF ,Struc,0.519,666
cora,AX,OCS,Struc,0.565,666
cora,AX,PCA,Struc,0.637,666
cora,AX,AE ,Struc,0.637,666
cora,A ,IF ,Node2,0.679,1122
cora,A ,OCS,Node2,0.665,1122
cora,A ,PCA,Node2,0.722,1122
cora,A ,AE ,Node2,0.720,1122
cora,AX,IF ,Node2,0.582,1122
cora,AX,OCS,Node2,0.663,1122
cora,AX,PCA,Node2,0.609,1122
cora,AX,AE ,Node2,0.609,1122
cora,A ,IF ,"LINE
",0.602,1122
cora,A ,OCS,"LINE
",0.614,1122
cora,A ,PCA,"LINE
",0.614,1122
cora,A ,AE ,"LINE
",0.612,1122
cora,AX,IF ,"LINE
",0.577,1122
cora,AX,OCS,"LINE
",0.614,1122
cora,AX,PCA,"LINE
",0.609,1122
cora,AX,AE ,"LINE
",0.609,1122
cora,A ,IF ,"SDNE
",0.587,1122
cora,A ,OCS,"SDNE
",0.590,1122
cora,A ,PCA,"SDNE
",0.585,1122
cora,A ,AE ,"SDNE
",0.586,1122
cora,AX,IF ,"SDNE
",0.580,1122
cora,AX,OCS,"SDNE
",0.591,1122
cora,AX,PCA,"SDNE
",0.607,1122
cora,AX,AE ,"SDNE
",0.607,1122
cora,A ,IF ,Struc,0.588,1122
cora,A ,OCS,Struc,0.580,1122
cora,A ,PCA,Struc,0.574,1122
cora,A ,AE ,Struc,0.574,1122
cora,AX,IF ,Struc,0.561,1122
cora,AX,OCS,Struc,0.579,1122
cora,AX,PCA,Struc,0.608,1122
cora,AX,AE ,Struc,0.608,1122
citeseer,A ,IF ,Node2,0.552,52
citeseer,A ,OCS,Node2,"0.6,A",52
citeseer,A ,PCA,Node2,0.621,52
citeseer,A ,AE ,Node2,0.620,52
citeseer,AX,IF ,Node2,0.542,52
citeseer,AX,OCS,Node2,0.596,52
citeseer,AX,PCA,Node2,0.570,52
citeseer,AX,AE ,Node2,0.570,52
citeseer,A ,IF ,"LINE
",0.607,52
citeseer,A ,OCS,"LINE
",0.587,52
citeseer,A ,PCA,"LINE
",0.588,52
citeseer,A ,AE ,"LINE
",0.588,52
citeseer,AX,IF ,"LINE
",0.552,52
citeseer,AX,OCS,"LINE
",0.586,52
citeseer,AX,PCA,"LINE
",0.572,52
citeseer,AX,AE ,"LINE
",0.572,52
citeseer,A ,IF ,"SDNE
",0.525,52
citeseer,A ,OCS,"SDNE
",0.551,52
citeseer,A ,PCA,"SDNE
",0.528,52
citeseer,A ,AE ,"SDNE
",0.531,52
citeseer,AX,IF ,"SDNE
",0.575,52
citeseer,AX,OCS,"SDNE
",0.559,52
citeseer,AX,PCA,"SDNE
",0.583,52
citeseer,AX,AE ,"SDNE
",0.583,52
citeseer,A ,IF ,Struc,0.552,52
citeseer,A ,OCS,Struc,0.565,52
citeseer,A ,PCA,Struc,0.555,52
citeseer,A ,AE ,Struc,0.555,52
citeseer,AX,IF ,Struc,0.557,52
citeseer,AX,OCS,Struc,0.565,52
citeseer,AX,PCA,Struc,0.579,52
citeseer,AX,AE ,Struc,0.579,52
citeseer,A ,IF ,Node2,0.526,58
citeseer,A ,OCS,Node2,0.560,58
citeseer,A ,PCA,Node2,0.598,58
citeseer,A ,AE ,Node2,0.601,58
citeseer,AX,IF ,Node2,0.489,58
citeseer,AX,OCS,Node2,0.559,58
citeseer,AX,PCA,Node2,0.566,58
citeseer,AX,AE ,Node2,0.567,58
citeseer,A ,IF ,"LINE
",0.586,58
citeseer,A ,OCS,"LINE
",0.583,58
citeseer,A ,PCA,"LINE
",0.583,58
citeseer,A ,AE ,"LINE
",0.583,58
citeseer,AX,IF ,"LINE
",0.509,58
citeseer,AX,OCS,"LINE
",0.583,58
citeseer,AX,PCA,"LINE
",0.568,58
citeseer,AX,AE ,"LINE
",0.569,58
citeseer,A ,IF ,"SDNE
",0.583,58
citeseer,A ,OCS,"SDNE
",0.581,58
citeseer,A ,PCA,"SDNE
",0.570,58
citeseer,A ,AE ,"SDNE
",0.571,58
citeseer,AX,IF ,"SDNE
",0.526,58
citeseer,AX,OCS,"SDNE
",0.591,58
citeseer,AX,PCA,"SDNE
",0.591,58
citeseer,AX,AE ,"SDNE
",0.591,58
citeseer,A ,IF ,Struc,0.555,58
citeseer,A ,OCS,Struc,0.568,58
citeseer,A ,PCA,Struc,0.556,58
citeseer,A ,AE ,Struc,0.557,58
citeseer,AX,IF ,Struc,0.475,58
citeseer,AX,OCS,Struc,0.567,58
citeseer,AX,PCA,Struc,0.578,58
citeseer,AX,AE ,Struc,0.579,58
citeseer,A ,IF ,Node2,0.571,666
citeseer,A ,OCS,Node2,0.563,666
citeseer,A ,PCA,Node2,0.596,666
citeseer,A ,AE ,Node2,0.600,666
citeseer,AX,IF ,Node2,0.521,666
citeseer,AX,OCS,Node2,0.561,666
citeseer,AX,PCA,Node2,0.567,666
citeseer,AX,AE ,Node2,0.568,666
citeseer,A ,IF ,"LINE
",0.578,666
citeseer,A ,OCS,"LINE
",0.566,666
citeseer,A ,PCA,"LINE
",0.567,666
citeseer,A ,AE ,"LINE
",0.566,666
citeseer,AX,IF ,"LINE
",0.539,666
citeseer,AX,OCS,"LINE
",0.566,666
citeseer,AX,PCA,"LINE
",0.569,666
citeseer,AX,AE ,"LINE
",0.569,666
citeseer,A ,IF ,"SDNE
",0.529,666
citeseer,A ,OCS,"SDNE
",0.507,666
citeseer,A ,PCA,"SDNE
",0.499,666
citeseer,A ,AE ,"SDNE
",0.497,666
citeseer,AX,IF ,"SDNE
",0.534,666
citeseer,AX,OCS,"SDNE
",0.527,666
citeseer,AX,PCA,"SDNE
",0.577,666
citeseer,AX,AE ,"SDNE
",0.577,666
citeseer,A ,IF ,Struc,0.539,666
citeseer,A ,OCS,Struc,0.560,666
citeseer,A ,PCA,Struc,0.547,666
citeseer,A ,AE ,Struc,0.548,666
citeseer,AX,IF ,Struc,0.552,666
citeseer,AX,OCS,Struc,0.559,666
citeseer,AX,PCA,Struc,0.575,666
citeseer,AX,AE ,Struc,0.575,666
citeseer,A ,IF ,Node2,0.526,1122
citeseer,A ,OCS,Node2,0.500,1122
citeseer,A ,PCA,Node2,0.532,1122
citeseer,A ,AE ,Node2,0.536,1122
citeseer,AX,IF ,Node2,0.405,1122
citeseer,AX,OCS,Node2,0.498,1122
citeseer,AX,PCA,Node2,0.563,1122
citeseer,AX,AE ,Node2,0.564,1122
citeseer,A ,IF ,"LINE
",0.501,1122
citeseer,A ,OCS,"LINE
",0.480,1122
citeseer,A ,PCA,"LINE
",0.485,1122
citeseer,A ,AE ,"LINE
",0.484,1122
citeseer,AX,IF ,"LINE
",0.437,1122
citeseer,AX,OCS,"LINE
","0.48,",1122
citeseer,AX,PCA,"LINE
",0.561,1122
citeseer,AX,AE ,"LINE
",0.561,1122
citeseer,A ,IF ,"SDNE
",0.530,1122
citeseer,A ,OCS,"SDNE
",0.526,1122
citeseer,A ,PCA,"SDNE
",0.532,1122
citeseer,A ,AE ,"SDNE
",0.530,1122
citeseer,AX,IF ,"SDNE
",0.418,1122
citeseer,AX,OCS,"SDNE
",0.541,1122
citeseer,AX,PCA,"SDNE
",0.569,1122
citeseer,AX,AE ,"SDNE
",0.569,1122
citeseer,A ,IF ,Struc,0.481,1122
citeseer,A ,OCS,Struc,0.522,1122
citeseer,A ,PCA,Struc,0.484,1122
citeseer,A ,AE ,Struc,0.484,1122
citeseer,AX,IF ,Struc,0.441,1122
citeseer,AX,OCS,Struc,0.523,1122
citeseer,AX,PCA,Struc,0.563,1122
citeseer,AX,AE ,Struc,0.562,1122
pubmed,A ,IF ,Node2,0.590,52
pubmed,A ,OCS,Node2,0.607,52
pubmed,A ,PCA,Node2,0.601,52
pubmed,A ,AE ,Node2,0.601,52
pubmed,AX,IF ,Node2,0.647,52
pubmed,AX,OCS,Node2,0.606,52
pubmed,AX,PCA,Node2,0.724,52
pubmed,AX,AE ,Node2,0.724,52
pubmed,A ,IF ,"LINE
",0.515,52
pubmed,A ,OCS,"LINE
",0.511,52
pubmed,A ,PCA,"LINE
",0.505,52
pubmed,A ,AE ,"LINE
",0.505,52
pubmed,AX,IF ,"LINE
",0.614,52
pubmed,AX,OCS,"LINE
",0.510,52
pubmed,AX,PCA,"LINE
",0.707,52
pubmed,AX,AE ,"LINE
",0.707,52
pubmed,A ,IF ,"SDNE
",0.461,52
pubmed,A ,OCS,"SDNE
",0.457,52
pubmed,A ,PCA,"SDNE
",0.458,52
pubmed,A ,AE ,"SDNE
",0.458,52
pubmed,AX,IF ,"SDNE
",0.551,52
pubmed,AX,OCS,"SDNE
",0.456,52
pubmed,AX,PCA,"SDNE
",0.664,52
pubmed,AX,AE ,"SDNE
",0.663,52
pubmed,A ,IF ,Struc,0.481,52
pubmed,A ,OCS,Struc,0.479,52
pubmed,A ,PCA,Struc,0.485,52
pubmed,A ,AE ,Struc,0.485,52
pubmed,AX,IF ,Struc,0.590,52
pubmed,AX,OCS,Struc,0.479,52
pubmed,AX,PCA,Struc,0.681,52
pubmed,AX,AE ,Struc,0.681,52
pubmed,A ,IF ,Node2,0.581,58
pubmed,A ,OCS,Node2,0.607,58
pubmed,A ,PCA,Node2,0.600,58
pubmed,A ,AE ,Node2,0.600,58
pubmed,AX,IF ,Node2,0.615,58
pubmed,AX,OCS,Node2,0.606,58
pubmed,AX,PCA,Node2,0.731,58
pubmed,AX,AE ,Node2,0.731,58
pubmed,A ,IF ,"LINE
",0.502,58
pubmed,A ,OCS,"LINE
",0.515,58
pubmed,A ,PCA,"LINE
","0.51,",58
pubmed,A ,AE ,"LINE
",0.509,58
pubmed,AX,IF ,"LINE
",0.586,58
pubmed,AX,OCS,"LINE
",0.515,58
pubmed,AX,PCA,"LINE
",0.716,58
pubmed,AX,AE ,"LINE
",0.716,58
pubmed,A ,IF ,"SDNE
",0.459,58
pubmed,A ,OCS,"SDNE
",0.463,58
pubmed,A ,PCA,"SDNE
",0.463,58
pubmed,A ,AE ,"SDNE
",0.463,58
pubmed,AX,IF ,"SDNE
",0.542,58
pubmed,AX,OCS,"SDNE
",0.462,58
pubmed,AX,PCA,"SDNE
",0.673,58
pubmed,AX,AE ,"SDNE
",0.673,58
pubmed,A ,IF ,Struc,0.492,58
pubmed,A ,OCS,Struc,0.485,58
pubmed,A ,PCA,Struc,0.490,58
pubmed,A ,AE ,Struc,0.490,58
pubmed,AX,IF ,Struc,0.575,58
pubmed,AX,OCS,Struc,0.485,58
pubmed,AX,PCA,Struc,0.687,58
pubmed,AX,AE ,Struc,0.687,58
pubmed,A ,IF ,Node2,0.571,666
pubmed,A ,OCS,Node2,0.602,666
pubmed,A ,PCA,Node2,0.596,666
pubmed,A ,AE ,Node2,0.596,666
pubmed,AX,IF ,Node2,0.636,666
pubmed,AX,OCS,Node2,0.601,666
pubmed,AX,PCA,Node2,0.720,666
pubmed,AX,AE ,Node2,0.720,666
pubmed,A ,IF ,"LINE
",0.504,666
pubmed,A ,OCS,"LINE
",0.511,666
pubmed,A ,PCA,"LINE
",0.505,666
pubmed,A ,AE ,"LINE
",0.505,666
pubmed,AX,IF ,"LINE
",0.578,666
pubmed,AX,OCS,"LINE
",0.510,666
pubmed,AX,PCA,"LINE
",0.706,666
pubmed,AX,AE ,"LINE
",0.706,666
pubmed,A ,IF ,"SDNE
",0.449,666
pubmed,A ,OCS,"SDNE
",0.449,666
pubmed,A ,PCA,"SDNE
",0.449,666
pubmed,A ,AE ,"SDNE
",0.449,666
pubmed,AX,IF ,"SDNE
",0.526,666
pubmed,AX,OCS,"SDNE
",0.446,666
pubmed,AX,PCA,"SDNE
",0.658,666
pubmed,AX,AE ,"SDNE
",0.658,666
pubmed,A ,IF ,Struc,0.484,666
pubmed,A ,OCS,Struc,0.485,666
pubmed,A ,PCA,Struc,0.487,666
pubmed,A ,AE ,Struc,0.487,666
pubmed,AX,IF ,Struc,0.579,666
pubmed,AX,OCS,Struc,0.484,666
pubmed,AX,PCA,Struc,0.679,666
pubmed,AX,AE ,Struc,0.679,666
pubmed,A ,IF ,Node2,0.590,1122
pubmed,A ,OCS,Node2,0.611,1122
pubmed,A ,PCA,Node2,0.604,1122
pubmed,A ,AE ,Node2,0.603,1122
pubmed,AX,IF ,Node2,0.661,1122
pubmed,AX,OCS,Node2,0.610,1122
pubmed,AX,PCA,Node2,0.710,1122
pubmed,AX,AE ,Node2,"0.71,",1122
pubmed,A ,IF ,"LINE
",0.521,1122
pubmed,A ,OCS,"LINE
",0.521,1122
pubmed,A ,PCA,"LINE
",0.515,1122
pubmed,A ,AE ,"LINE
",0.515,1122
pubmed,AX,IF ,"LINE
",0.652,1122
pubmed,AX,OCS,"LINE
",0.521,1122
pubmed,AX,PCA,"LINE
",0.695,1122
pubmed,AX,AE ,"LINE
",0.695,1122
pubmed,A ,IF ,"SDNE
",0.465,1122
pubmed,A ,OCS,"SDNE
",0.465,1122
pubmed,A ,PCA,"SDNE
",0.466,1122
pubmed,A ,AE ,"SDNE
",0.466,1122
pubmed,AX,IF ,"SDNE
",0.573,1122
pubmed,AX,OCS,"SDNE
",0.464,1122
pubmed,AX,PCA,"SDNE
",0.656,1122
pubmed,AX,AE ,"SDNE
",0.656,1122
pubmed,A ,IF ,Struc,0.484,1122
pubmed,A ,OCS,Struc,0.479,1122
pubmed,A ,PCA,Struc,0.486,1122
pubmed,A ,AE ,Struc,0.486,1122
pubmed,AX,IF ,Struc,0.595,1122
pubmed,AX,OCS,Struc,0.478,1122
pubmed,AX,PCA,Struc,0.670,1122
pubmed,AX,AE ,Struc,0.670,1122
